Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
1765;07/03/2022 13:19:02 627;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1766;07/03/2022 13:19:02 631;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1767;07/03/2022 13:19:02 636;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1768;07/03/2022 13:19:02 641;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1769;07/03/2022 13:19:02 647;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1770;07/03/2022 13:19:02 652;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1771;07/03/2022 13:19:02 656;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1772;07/03/2022 13:19:02 662;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1773;07/03/2022 13:19:02 668;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1774;07/03/2022 13:19:02 673;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1775;07/03/2022 13:19:02 678;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1776;07/03/2022 13:19:02 684;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1777;07/03/2022 13:19:02 689;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1778;07/03/2022 13:19:02 695;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1779;07/03/2022 13:19:02 700;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1780;07/03/2022 13:19:02 707;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1781;07/03/2022 13:19:02 712;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1782;07/03/2022 13:19:02 718;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1783;07/03/2022 13:19:02 723;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1784;07/03/2022 13:19:02 729;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1785;07/03/2022 13:19:02 734;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1786;07/03/2022 13:19:02 740;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1787;07/03/2022 13:19:02 746;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1788;07/03/2022 13:19:02 751;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1789;07/03/2022 13:19:02 756;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1790;07/03/2022 13:19:02 762;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1791;07/03/2022 13:19:02 767;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1792;07/03/2022 13:19:02 773;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1793;07/03/2022 13:19:02 779;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1794;07/03/2022 13:19:02 785;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1795;07/03/2022 13:19:02 790;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1796;07/03/2022 13:19:02 796;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1797;07/03/2022 13:19:02 801;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1798;07/03/2022 13:19:02 807;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1799;07/03/2022 13:19:02 812;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1800;07/03/2022 13:19:02 819;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1801;07/03/2022 13:19:02 825;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1802;07/03/2022 13:19:02 830;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1803;07/03/2022 13:19:02 836;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1804;07/03/2022 13:19:02 841;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1805;07/03/2022 13:19:02 847;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1806;07/03/2022 13:19:02 853;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1807;07/03/2022 13:19:02 858;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1808;07/03/2022 13:19:02 865;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1809;07/03/2022 13:19:02 871;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1810;07/03/2022 13:19:02 877;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1811;07/03/2022 13:19:02 883;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1812;07/03/2022 13:19:02 889;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1813;07/03/2022 13:19:02 894;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1814;07/03/2022 13:19:02 900;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1815;07/03/2022 13:19:02 906;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1816;07/03/2022 13:19:02 911;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1817;07/03/2022 13:19:02 917;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1818;07/03/2022 13:19:02 922;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1819;07/03/2022 13:19:02 928;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1820;07/03/2022 13:19:02 934;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1821;07/03/2022 13:19:02 939;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1822;07/03/2022 13:19:02 944;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1823;07/03/2022 13:19:02 950;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1824;07/03/2022 13:19:02 955;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1825;07/03/2022 13:19:02 961;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1826;07/03/2022 13:19:02 967;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1827;07/03/2022 13:19:02 972;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1828;07/03/2022 13:19:02 978;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1829;07/03/2022 13:19:02 983;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1830;07/03/2022 13:19:02 988;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1831;07/03/2022 13:19:02 993;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1832;07/03/2022 13:19:02 999;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1833;07/03/2022 13:19:03 4;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1834;07/03/2022 13:19:03 10;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1835;07/03/2022 13:19:03 15;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1836;07/03/2022 13:19:03 20;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1837;07/03/2022 13:19:03 26;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1838;07/03/2022 13:19:03 31;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1839;07/03/2022 13:19:03 37;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1840;07/03/2022 13:19:03 43;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1841;07/03/2022 13:19:03 48;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1842;07/03/2022 13:19:03 54;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1843;07/03/2022 13:19:03 59;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1844;07/03/2022 13:19:03 65;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1845;07/03/2022 13:19:03 72;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1846;07/03/2022 13:19:03 77;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1847;07/03/2022 13:19:03 83;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1848;07/03/2022 13:19:03 90;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1849;07/03/2022 13:19:03 95;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1850;07/03/2022 13:19:03 102;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1851;07/03/2022 13:19:03 107;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1852;07/03/2022 13:19:03 113;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1853;07/03/2022 13:19:03 122;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1854;07/03/2022 13:19:03 128;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1855;07/03/2022 13:19:03 133;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1856;07/03/2022 13:19:03 140;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1857;07/03/2022 13:19:03 151;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1858;07/03/2022 13:19:03 156;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1859;07/03/2022 13:19:03 161;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1860;07/03/2022 13:19:03 168;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1861;07/03/2022 13:19:03 178;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1862;07/03/2022 13:19:03 183;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1863;07/03/2022 13:19:03 190;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1864;07/03/2022 13:19:03 195;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1865;07/03/2022 13:19:03 201;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
