Frame;Timestamp;Player Position;Player Rotation;Right Hand Position;Right Hand Rotation;Left Hand Position;Left Hand Rotation;Gaze Vector;Gaze Position;Gaze Object Tag;
0;24-03-2022 19:20:39 41;(5.9885, 0.9931, -1.9032);(-0.0443, 0.9065, 0.3598, 0.2165);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 52;(5.9874, 0.9920, -1.9041);(-0.0426, 0.9086, 0.3568, 0.2128);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 63;(5.9865, 0.9908, -1.9051);(-0.0408, 0.9108, 0.3536, 0.2091);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 74;(5.9855, 0.9894, -1.9063);(-0.0383, 0.9136, 0.3493, 0.2047);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 85;(5.9845, 0.9879, -1.9077);(-0.0353, 0.9166, 0.3443, 0.2000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 96;(5.9836, 0.9862, -1.9094);(-0.0319, 0.9203, 0.3379, 0.1947);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 107;(5.9829, 0.9843, -1.9113);(-0.0281, 0.9242, 0.3307, 0.1889);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 118;(5.9819, 0.9821, -1.9134);(-0.0238, 0.9286, 0.3221, 0.1826);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 129;(5.9807, 0.9796, -1.9157);(-0.0190, 0.9334, 0.3124, 0.1757);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 141;(5.9799, 0.9769, -1.9183);(-0.0139, 0.9384, 0.3016, 0.1682);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 152;(5.9786, 0.9737, -1.9211);(-0.0077, 0.9441, 0.2885, 0.1596);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 162;(5.9776, 0.9702, -1.9242);(-0.0012, 0.9499, 0.2741, 0.1501);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 174;(5.9759, 0.9661, -1.9272);(0.0063, 0.9560, 0.2580, 0.1392);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 185;(5.9740, 0.9617, -1.9301);(0.0140, 0.9619, 0.2413, 0.1278);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 196;(5.9716, 0.9566, -1.9331);(0.0230, 0.9678, 0.2223, 0.1155);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 207;(5.9697, 0.9511, -1.9362);(0.0320, 0.9733, 0.2029, 0.1023);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 219;(5.9665, 0.9451, -1.9390);(0.0415, 0.9788, 0.1811, 0.0867);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.0377, 0.0238, 0.9990);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 230;(5.9633, 0.9386, -1.9415);(0.0512, 0.9835, 0.1594, 0.0688);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-0.2145, 0.0764, 0.9737);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 241;(5.9602, 0.9320, -1.9438);(0.0619, 0.9873, 0.1374, 0.0508);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 253;(5.9556, 0.9251, -1.9451);(0.0742, 0.9902, 0.1140, 0.0322);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 264;(5.9512, 0.9184, -1.9460);(0.0895, 0.9921, 0.0874, 0.0133);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 276;(5.9464, 0.9130, -1.9461);(0.1094, 0.9927, 0.0492, -0.0095);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 287;(5.9409, 0.9074, -1.9454);(0.1233, 0.9919, 0.0113, -0.0301);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 299;(5.9347, 0.9013, -1.9438);(0.1311, 0.9899, -0.0217, -0.0502);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 310;(5.9289, 0.8951, -1.9420);(0.1380, 0.9866, -0.0525, -0.0698);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 322;(5.9235, 0.8891, -1.9392);(0.1450, 0.9819, -0.0825, -0.0892);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 333;(5.9171, 0.8831, -1.9347);(0.1500, 0.9780, -0.0959, -0.1091);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 344;(5.9103, 0.8773, -1.9310);(0.1559, 0.9755, -0.0976, -0.1206);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 356;(5.9043, 0.8761, -1.9266);(0.1698, 0.9689, -0.1129, -0.1401);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 367;(5.9000, 0.8778, -1.9239);(0.1763, 0.9638, -0.1237, -0.1574);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 379;(5.8961, 0.8808, -1.9220);(0.1765, 0.9596, -0.1280, -0.1778);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 390;(5.8923, 0.8836, -1.9208);(0.1744, 0.9557, -0.1330, -0.1963);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 401;(5.8887, 0.8856, -1.9194);(0.1739, 0.9542, -0.1244, -0.2092);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 412;(5.8853, 0.8865, -1.9183);(0.1760, 0.9520, -0.1155, -0.2220);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 423;(5.8824, 0.8876, -1.9168);(0.1736, 0.9497, -0.1086, -0.2370);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 435;(5.8791, 0.8890, -1.9154);(0.1694, 0.9485, -0.1014, -0.2476);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 445;(5.8756, 0.8902, -1.9137);(0.1651, 0.9465, -0.0963, -0.2600);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 457;(5.8722, 0.8914, -1.9115);(0.1596, 0.9437, -0.0968, -0.2732);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 468;(5.8698, 0.8924, -1.9105);(0.1588, 0.9406, -0.0993, -0.2832);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 479;(5.8668, 0.8930, -1.9088);(0.1597, 0.9377, -0.1021, -0.2912);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 490;(5.8635, 0.8933, -1.9066);(0.1592, 0.9351, -0.1036, -0.2991);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 501;(5.8604, 0.8934, -1.9049);(0.1557, 0.9331, -0.1051, -0.3066);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 512;(5.8575, 0.8938, -1.9030);(0.1512, 0.9314, -0.1058, -0.3137);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 523;(5.8550, 0.8939, -1.9019);(0.1459, 0.9301, -0.1046, -0.3203);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 534;(5.8523, 0.8947, -1.9007);(0.1415, 0.9283, -0.1045, -0.3276);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 545;(5.8492, 0.8958, -1.8998);(0.1366, 0.9273, -0.1023, -0.3332);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
