frame,time,player_pos_x,player_pos_y,player_pos_z,player_up_x,player_up_y,player_up_z,rel_r_hand_x,rel_r_hand_y,rel_r_hand_z,r_hand_up_x,r_hand_up_y,r_hand_up_z,gaze_vec_x,gaze_vec_y,gaze_vec_z,gaze_p_x,gaze_p_y,gaze_p_z,obj_tag,obj_interacted_with,gaze_to_screen_x,gaze_to_screen_y,gaze_to_screen_z,obj_interacted_with
29;08-04-2022 18:17:13 870;-2,0799;1,3566;1,3105;0,0024;0,9982;-0,0602;0,2391;-0,2528;0,1494;0,1452;0,3946;-0,9073;0,3043;0,2129;0,9285;-2,5130;1,7350;1,8890;1;934,4896;1.882,8380;0,7132;0
30;08-04-2022 18:17:13 881;-2,0799;1,3566;1,3106;0,0020;0,9982;-0,0600;0,2391;-0,2526;0,1495;0,1448;0,3947;-0,9073;0,3421;0,1880;0,9206;-2,5130;1,7350;1,8890;1;933,6577;1.883,6530;0,7129;0
31;08-04-2022 18:17:13 892;-2,0796;1,3564;1,3106;0,0014;0,9982;-0,0600;0,2388;-0,2526;0,1497;0,1446;0,3951;-0,9072;0,4260;0,1366;0,8943;-2,5130;1,7350;1,8890;1;933,3035;1.884,2250;0,7129;0
32;08-04-2022 18:17:13 903;-2,0796;1,3564;1,3106;0,0007;0,9982;-0,0597;0,2386;-0,2525;0,1498;0,1447;0,3957;-0,9069;0,4433;0,1165;0,8888;-2,5130;1,7350;1,8890;1;933,2755;1.885,2220;0,7126;0
33;08-04-2022 18:17:13 914;-2,0793;1,3563;1,3107;0,0001;0,9982;-0,0596;0,2385;-0,2524;0,1497;0,1442;0,3955;-0,9071;0,4448;0,1193;0,8877;-2,5130;1,7350;1,8890;1;933,2943;1.885,9410;0,7126;0
34;08-04-2022 18:17:13 925;-2,0793;1,3562;1,3107;-0,0001;0,9982;-0,0592;0,2385;-0,2522;0,1497;0,1435;0,3949;-0,9075;0,4458;0,1173;0,8874;-2,5130;1,7350;1,8890;1;933,3268;1.886,4720;0,7126;0
35;08-04-2022 18:17:13 936;-2,0793;1,3562;1,3107;0,0000;0,9983;-0,0588;0,2387;-0,2520;0,1494;0,1428;0,3938;-0,9081;0,4457;0,1208;0,8870;-2,5130;1,7350;1,8890;1;933,4261;1.886,8330;0,7124;0
36;08-04-2022 18:17:13 948;-2,0792;1,3563;1,3107;0,0006;0,9983;-0,0584;0,2390;-0,2517;0,1493;0,1423;0,3928;-0,9086;0,4439;0,1208;0,8879;-2,5130;1,7350;1,8890;1;933,0092;1.886,8330;0,7124;0
37;08-04-2022 18:17:13 959;-2,0793;1,3563;1,3108;0,0011;0,9983;-0,0582;0,2394;-0,2516;0,1491;0,1412;0,3923;-0,9090;0,4427;0,1208;0,8884;-2,5130;1,7350;1,8890;1;932,8908;1.886,6830;0,7123;0
38;08-04-2022 18:17:13 970;-2,0793;1,3563;1,3108;0,0011;0,9983;-0,0579;0,2396;-0,2514;0,1489;0,1396;0,3922;-0,9092;0,4420;0,1198;0,8890;-2,5130;1,7350;1,8890;1;933,3615;1.887,0200;0,7123;0
