frame;time;player_pos_x;player_pos_y;player_pos_z;player_up_x;player_up_y;player_up_z;rel_r_hand_x;rel_r_hand_y;rel_r_hand_z;r_hand_up_x;r_hand_up_y;r_hand_up_z;gaze_vec_x;gaze_vec_y;gaze_vec_z;gaze_p_x;gaze_p_y;gaze_p_z;obj_tag;gaze_to_screen_x;gaze_to_screen_y;gaze_to_screen_z;obj_interacted_with
33;08-04-2022 16:08:58 775;-2,0570;1,3211;1,4831;-0,0560;0,9705;0,2345;0,2002;-0,1016;0,3187;0,1854;0,6595;-0,7285;0,1282;0,5083;0,8516;-2,5000;0,0000;2,5000;0;1.113,1900;581,8375;1,3833;0
34;08-04-2022 16:08:58 786;-2,0572;1,3209;1,4832;-0,0589;0,9699;0,2361;0,1989;-0,1001;0,3185;0,1877;0,6572;-0,7300;0,1441;-0,0234;0,9893;-2,5000;0,0000;2,5000;0;1.109,3940;585,7139;1,3850;0
35;08-04-2022 16:08:58 797;-2,0574;1,3207;1,4835;-0,0619;0,9692;0,2382;0,1978;-0,0985;0,3183;0,1895;0,6547;-0,7318;0,1116;0,2276;0,9673;-2,5000;0,0000;2,5000;0;1.106,1030;590,5018;1,3874;0
36;08-04-2022 16:08:58 808;-2,0575;1,3205;1,4836;-0,0647;0,9683;0,2414;0,1962;-0,0964;0,3182;0,1900;0,6522;-0,7339;0,1144;0,2234;0,9680;-2,5000;0,0000;2,5000;0;1.102,4110;596,9405;1,3907;0
37;08-04-2022 16:08:58 819;-2,0575;1,3203;1,4838;-0,0677;0,9671;0,2454;0,1945;-0,0940;0,3184;0,1882;0,6508;-0,7356;0,1098;-0,0274;0,9936;-2,5000;0,0000;2,5000;0;1.097,7800;604,6245;1,3947;0
38;08-04-2022 16:08:58 830;-2,0576;1,3201;1,4840;-0,0709;0,9658;0,2494;0,1924;-0,0915;0,3187;0,1850;0,6499;-0,7372;0,0437;-0,0350;0,9984;-2,5000;0,0000;2,5000;0;1.092,1420;612,2572;1,3985;0
39;08-04-2022 16:08:58 841;-2,0571;1,3197;1,4841;-0,0733;0,9644;0,2541;0,1898;-0,0885;0,3194;0,1818;0,6495;-0,7383;-0,0663;-0,0056;0,9978;-2,5000;0,0000;2,5000;0;1.085,8860;620,6599;1,4027;0
40;08-04-2022 16:08:58 853;-2,0570;1,3194;1,4843;-0,0753;0,9631;0,2585;0,1889;-0,0865;0,3201;0,1796;0,6484;-0,7399;-0,1613;-0,0324;0,9864;-1,9760;1,0710;2,2380;5;1.596,2450;1.298,4110;0,7541;0
41;08-04-2022 16:08:58 864;-2,0567;1,3190;1,4844;-0,0762;0,9617;0,2632;0,1865;-0,0834;0,3207;0,1783;0,6474;-0,7410;-0,1945;-0,0416;0,9800;-1,9760;1,0710;2,2380;5;1.588,2460;1.304,4420;0,7557;0
42;08-04-2022 16:08:58 875;-2,0564;1,3187;1,4845;-0,0760;0,9604;0,2682;0,1843;-0,0800;0,3212;0,1808;0,6451;-0,7424;-0,2366;-0,0514;0,9702;-1,9760;1,0710;2,2380;5;1.580,2860;1.310,8940;0,7574;0
43;08-04-2022 16:08:58 885;-2,0557;1,3182;1,4845;-0,0743;0,9590;0,2735;0,1818;-0,0762;0,3219;0,1827;0,6431;-0,7437;-0,2961;-0,0718;0,9525;-1,9760;1,0710;2,2380;5;1.571,1240;1.318,0030;0,7594;0
44;08-04-2022 16:08:58 897;-2,0554;1,3178;1,4845;-0,0724;0,9576;0,2787;0,1793;-0,0723;0,3221;0,1862;0,6407;-0,7449;-0,2690;-0,0620;0,9611;-1,9760;1,0710;2,2380;5;1.562,7030;1.324,8370;0,7611;0
45;08-04-2022 16:08:58 908;-2,0547;1,3173;1,4844;-0,0685;0,9563;0,2842;0,1769;-0,0681;0,3229;0,1879;0,6391;-0,7458;-0,2636;-0,0496;0,9633;-1,9760;1,0710;2,2380;5;1.552,8580;1.332,4580;0,7631;0
46;08-04-2022 16:08:58 919;-2,0544;1,3169;1,4842;-0,0640;0,9549;0,2901;0,1751;-0,0642;0,3237;0,1888;0,6379;-0,7466;-0,2557;-0,0553;0,9651;-1,9760;1,0710;2,2380;5;1.543,0950;1.340,4040;0,7652;0
47;08-04-2022 16:08:58 931;-2,0540;1,3164;1,4840;-0,0605;0,9533;0,2959;0,1736;-0,0602;0,3244;0,1853;0,6358;-0,7493;-0,2491;-0,0511;0,9671;-1,9760;1,0710;2,2380;5;1.533,5030;1.348,3170;0,7671;0
48;08-04-2022 16:08:58 941;-2,0530;1,3159;1,4836;-0,0562;0,9519;0,3012;0,1712;-0,0559;0,3253;0,1808;0,6371;-0,7493;-0,2569;-0,0402;0,9656;-1,9760;1,0710;2,2380;5;1.523,8840;1.355,8210;0,7691;0
49;08-04-2022 16:08:58 952;-2,0526;1,3155;1,4834;-0,0523;0,9505;0,3063;0,1712;-0,0530;0,3262;0,1801;0,6384;-0,7484;-0,2031;-0,0458;0,9781;-1,9760;1,0710;2,2380;5;1.515,7920;1.362,6610;0,7706;0
50;08-04-2022 16:08:58 964;-2,0531;1,3151;1,4837;-0,0491;0,9489;0,3118;0,1714;-0,0496;0,3261;0,1845;0,6385;-0,7472;-0,1860;-0,0352;0,9819;-1,9760;1,0710;2,2380;5;1.509,9380;1.369,7210;0,7713;0
51;08-04-2022 16:08:58 974;-2,0526;1,3149;1,4835;-0,0456;0,9477;0,3159;0,1705;-0,0461;0,3263;0,1946;0,6357;-0,7470;-0,1667;-0,0329;0,9855;-1,9760;1,0710;2,2380;5;1.502,0870;1.375,2250;0,7727;0
52;08-04-2022 16:08:58 986;-2,0516;1,3147;1,4830;-0,0423;0,9467;0,3195;0,1688;-0,0431;0,3272;0,2019;0,6332;-0,7472;-0,1479;-0,0266;0,9886;-1,9760;1,0710;2,2380;5;1.492,2220;1.380,0400;0,7747;0
53;08-04-2022 16:08:58 997;-2,0509;1,3146;1,4827;-0,0402;0,9457;0,3226;0,1679;-0,0408;0,3279;0,2058;0,6307;-0,7482;-0,1532;-0,0284;0,9878;-1,9760;1,0710;2,2380;5;1.482,7230;1.384,2140;0,7764;0
54;08-04-2022 16:08:59 8;-2,0510;1,3150;1,4823;-0,0391;0,9447;0,3256;0,1671;-0,0390;0,3285;0,2057;0,6286;-0,7500;-0,1558;-0,0200;0,9876;-1,9760;1,0710;2,2380;5;1.474,1470;1.387,4440;0,7782;0
55;08-04-2022 16:08:59 19;-2,0497;1,3147;1,4816;-0,0391;0,9437;0,3284;0,1651;-0,0367;0,3297;0,2048;0,6275;-0,7512;-0,1294;-0,0179;0,9914;-1,9760;1,0710;2,2380;5;1.463,1250;1.391,2350;0,7802;0
56;08-04-2022 16:08:59 30;-2,0490;1,3146;1,4813;-0,0399;0,9427;0,3312;0,1630;-0,0344;0,3303;0,2035;0,6255;-0,7532;-0,1250;-0,0121;0,9921;-1,9760;1,0710;2,2380;5;1.453,8820;1.394,6990;0,7818;0
57;08-04-2022 16:08:59 42;-2,0479;1,3143;1,4807;-0,0403;0,9418;0,3337;0,1616;-0,0322;0,3310;0,2018;0,6238;-0,7550;-0,0802;-0,0173;0,9966;-1,9760;1,0710;2,2380;5;1.444,7320;1.398,1980;0,7833;0
58;08-04-2022 16:08:59 53;-2,0471;1,3142;1,4803;-0,0405;0,9410;0,3361;0,1597;-0,0296;0,3314;0,2009;0,6215;-0,7572;-0,0576;-0,0085;0,9983;-1,9760;1,0710;2,2380;5;1.436,3330;1.401,2660;0,7847;0
59;08-04-2022 16:08:59 65;-2,0465;1,3142;1,4801;-0,0402;0,9400;0,3387;0,1592;-0,0278;0,3318;0,2029;0,6186;-0,7591;-0,0639;-0,0065;0,9979;-1,9760;1,0710;2,2380;5;1.428,4260;1.404,3990;0,7858;0
60;08-04-2022 16:08:59 75;-2,0457;1,3141;1,4797;-0,0397;0,9393;0,3408;0,1587;-0,0259;0,3322;0,2078;0,6155;-0,7602;-0,0553;0,0052;0,9984;-1,9760;1,0710;2,2380;5;1.420,6780;1.407,2280;0,7870;0
61;08-04-2022 16:08:59 87;-2,0447;1,3138;1,4794;-0,0393;0,9384;0,3432;0,1580;-0,0239;0,3325;0,2124;0,6120;-0,7618;-0,1216;0,0339;0,9920;-1,9760;1,0710;2,2380;5;1.412,3950;1.410,5250;0,7881;0
62;08-04-2022 16:08:59 98;-2,0440;1,3137;1,4791;-0,0379;0,9376;0,3455;0,1568;-0,0219;0,3325;0,2185;0,6068;-0,7643;-0,1220;0,0355;0,9919;-1,9760;1,0710;2,2380;5;1.404,5900;1.413,5140;0,7890;0
63;08-04-2022 16:08:59 109;-2,0429;1,3135;1,4790;-0,0359;0,9369;0,3478;0,1556;-0,0200;0,3324;0,2208;0,6028;-0,7667;-0,1397;0,0419;0,9893;-1,9760;1,0710;2,2380;5;1.396,3020;1.416,6190;0,7898;0
64;08-04-2022 16:08:59 121;-2,0411;1,3133;1,4787;-0,0325;0,9363;0,3497;0,1536;-0,0182;0,3325;0,2197;0,5992;-0,7699;-0,1351;0,0475;0,9897;-1,9760;1,0710;2,2380;5;1.386,0560;1.419,5380;0,7909;0
65;08-04-2022 16:08:59 132;-2,0401;1,3133;1,4786;-0,0290;0,9357;0,3516;0,1508;-0,0161;0,3324;0,2174;0,5967;-0,7724;-0,1220;0,0459;0,9915;-1,9760;1,0710;2,2380;5;1.376,7470;1.421,9570;0,7917;0
66;08-04-2022 16:08:59 143;-2,0388;1,3131;1,4786;-0,0254;0,9356;0,3522;0,1490;-0,0151;0,3323;0,2145;0,5935;-0,7757;-0,1010;0,0498;0,9936;-1,9760;1,0710;2,2380;5;1.366,9070;1.423,1500;0,7925;0
67;08-04-2022 16:08:59 154;-2,0378;1,3131;1,4786;-0,0227;0,9353;0,3532;0,1466;-0,0141;0,3320;0,2126;0,5904;-0,7786;-0,0930;0,0486;0,9945;-1,9760;1,0710;2,2380;5;1.357,8720;1.424,5140;0,7931;0
68;08-04-2022 16:08:59 166;-2,0364;1,3129;1,4787;-0,0208;0,9350;0,3539;0,1448;-0,0135;0,3315;0,2132;0,5868;-0,7811;-0,0831;0,0478;0,9954;-1,9760;1,0710;2,2380;5;1.349,4230;1.425,6620;0,7936;0
69;08-04-2022 16:08:59 177;-2,0354;1,3128;1,4787;-0,0191;0,9348;0,3546;0,1425;-0,0130;0,3308;0,2178;0,5836;-0,7823;-0,0968;0,0567;0,9937;-1,9760;1,0710;2,2380;5;1.342,8420;1.426,6320;0,7938;0
70;08-04-2022 16:08:59 189;-2,0337;1,3125;1,4787;-0,0173;0,9346;0,3554;0,1392;-0,0119;0,3295;0,2184;0,5821;-0,7833;-0,0884;0,0608;0,9942;-1,9760;1,0710;2,2380;5;1.336,0380;1.428,0930;0,7941;0
71;08-04-2022 16:08:59 199;-2,0320;1,3121;1,4788;-0,0155;0,9344;0,3560;0,1376;-0,0121;0,3283;0,2215;0,5801;-0,7838;-0,0782;0,0590;0,9952;-1,9760;1,0710;2,2380;5;1.330,2780;1.429,4750;0,7941;0
72;08-04-2022 16:08:59 211;-2,0310;1,3119;1,4790;-0,0137;0,9340;0,3571;0,1361;-0,0122;0,3268;0,2234;0,5786;-0,7844;-0,0714;0,0587;0,9957;-1,9760;1,0710;2,2380;5;1.325,5600;1.431,0130;0,7940;0
73;08-04-2022 16:08:59 222;-2,0295;1,3115;1,4791;-0,0119;0,9335;0,3584;0,1348;-0,0128;0,3254;0,2272;0,5762;-0,7851;-0,0624;0,0553;0,9965;-1,9760;1,0710;2,2380;5;1.320,3380;1.433,0910;0,7939;0
74;08-04-2022 16:08:59 233;-2,0286;1,3113;1,4793;-0,0103;0,9327;0,3604;0,1334;-0,0138;0,3237;0,2298;0,5743;-0,7857;-0,0559;0,0571;0,9968;-1,9760;1,0710;2,2380;5;1.315,7190;1.435,6870;0,7938;0
75;08-04-2022 16:08:59 244;-2,0268;1,3107;1,4792;-0,0082;0,9317;0,3633;0,1318;-0,0148;0,3223;0,2335;0,5735;-0,7852;-0,0524;0,0484;0,9974;-1,9760;1,0710;2,2380;5;1.310,6040;1.439,9570;0,7937;0
76;08-04-2022 16:08:59 255;-2,0259;1,3104;1,4794;-0,0061;0,9306;0,3659;0,1310;-0,0162;0,3211;0,2357;0,5744;-0,7839;-0,0452;0,0481;0,9978;-1,9760;1,0710;2,2380;5;1.307,0660;1.443,4950;0,7934;0
77;08-04-2022 16:08:59 266;-2,0248;1,3099;1,4796;-0,0035;0,9297;0,3684;0,1298;-0,0177;0,3195;0,2353;0,5761;-0,7828;-0,0489;0,0581;0,9971;-1,9760;1,0710;2,2380;5;1.303,2340;1.447,0270;0,7929;0
78;08-04-2022 16:08:59 277;-2,0237;1,3095;1,4800;-0,0006;0,9291;0,3698;0,1288;-0,0202;0,3183;0,2354;0,5794;-0,7803;-0,0402;0,0619;0,9973;-1,9760;1,0710;2,2380;5;1.299,4390;1.449,3200;0,7924;0
79;08-04-2022 16:08:59 288;-2,0227;1,3091;1,4804;0,0029;0,9289;0,3704;0,1281;-0,0233;0,3171;0,2356;0,5824;-0,7780;-0,0281;0,0647;0,9975;-1,9760;1,0710;2,2380;5;1.295,4650;1.450,4730;0,7919;0
80;08-04-2022 16:08:59 300;-2,0213;1,3086;1,4808;0,0066;0,9289;0,3702;0,1270;-0,0268;0,3165;0,2348;0,5876;-0,7743;-0,0268;0,0705;0,9971;-1,9760;1,0710;2,2380;5;1.290,6570;1.451,0430;0,7915;0
81;08-04-2022 16:08:59 311;-2,0204;1,3082;1,4812;0,0103;0,9288;0,3705;0,1253;-0,0300;0,3153;0,2352;0,5912;-0,7714;-0,0231;0,0681;0,9974;-1,9760;1,0710;2,2380;5;1.286,0870;1.451,9020;0,7911;0
82;08-04-2022 16:08:59 322;-2,0191;1,3076;1,4814;0,0140;0,9284;0,3713;0,1244;-0,0332;0,3154;0,2332;0,5987;-0,7663;-0,0159;0,0762;0,9970;-1,9760;1,0710;2,2380;5;1.280,9780;1.453,7750;0,7907;0
83;08-04-2022 16:08:59 333;-2,0182;1,3072;1,4816;0,0168;0,9276;0,3732;0,1238;-0,0362;0,3151;0,2318;0,6053;-0,7615;-0,0014;0,0651;0,9979;-1,9760;1,0710;2,2380;5;1.276,8390;1.456,5780;0,7903;0
84;08-04-2022 16:08:59 344;-2,0167;1,3066;1,4817;0,0189;0,9268;0,3750;0,1228;-0,0390;0,3156;0,2316;0,6128;-0,7555;0,0023;0,0636;0,9980;-1,9760;1,0710;2,2380;5;1.272,3370;1.459,5190;0,7899;0
85;08-04-2022 16:08:59 355;-2,0157;1,3061;1,4819;0,0203;0,9262;0,3764;0,1228;-0,0427;0,3159;0,2347;0,6195;-0,7491;-0,0004;0,0645;0,9979;-1,9760;1,0710;2,2380;5;1.269,2340;1.461,6920;0,7895;0
86;08-04-2022 16:08:59 366;-2,0143;1,3056;1,4821;0,0220;0,9260;0,3769;0,1220;-0,0463;0,3163;0,2409;0,6249;-0,7426;0,0054;0,0690;0,9976;-1,9760;1,0710;2,2380;5;1.265,7070;1.462,9340;0,7891;0
87;08-04-2022 16:08:59 378;-2,0132;1,3052;1,4823;0,0241;0,9258;0,3772;0,1215;-0,0497;0,3171;0,2475;0,6311;-0,7352;0,0385;0,0552;0,9977;-1,9760;1,0710;2,2380;5;1.262,3610;1.463,7190;0,7887;0
88;08-04-2022 16:08:59 388;-2,0119;1,3049;1,4824;0,0270;0,9254;0,3781;0,1217;-0,0532;0,3182;0,2508;0,6380;-0,7280;0,0338;0,0629;0,9974;-1,9760;1,0710;2,2380;5;1.258,3820;1.465,2700;0,7884;0
89;08-04-2022 16:08:59 399;-2,0106;1,3046;1,4825;0,0304;0,9248;0,3792;0,1206;-0,0553;0,3199;0,2515;0,6466;-0,7202;0,0278;0,0662;0,9974;-1,9760;1,0710;2,2380;5;1.253,6350;1.467,1780;0,7882;0
90;08-04-2022 16:08:59 411;-2,0097;1,3043;1,4824;0,0344;0,9241;0,3805;0,1198;-0,0574;0,3218;0,2445;0,6565;-0,7136;-0,0653;0,0211;0,9976;-1,9760;1,0710;2,2380;5;1.249,1040;1.469,2240;0,7880;0
91;08-04-2022 16:08:59 422;-2,0087;1,3040;1,4823;0,0384;0,9235;0,3816;0,1187;-0,0595;0,3232;0,2325;0,6650;-0,7097;-0,0719;0,0154;0,9973;-1,9760;1,0710;2,2380;5;1.244,0450;1.471,0970;0,7880;0
92;08-04-2022 16:08:59 433;-2,0078;1,3038;1,4822;0,0421;0,9231;0,3823;0,1191;-0,0619;0,3249;0,2220;0,6720;-0,7065;-0,0997;-0,0064;0,9950;-1,9760;1,0710;2,2380;5;1.239,3790;1.472,3380;0,7879;0
93;08-04-2022 16:08:59 444;-2,0066;1,3036;1,4821;0,0449;0,9228;0,3826;0,1180;-0,0640;0,3264;0,2141;0,6790;-0,7022;-0,0829;0,0022;0,9966;-1,9760;1,0710;2,2380;5;1.234,2080;1.473,1770;0,7878;0
94;08-04-2022 16:08:59 455;-2,0057;1,3035;1,4820;0,0472;0,9228;0,3825;0,1184;-0,0662;0,3280;0,2091;0,6859;-0,6970;-0,0923;0,0011;0,9957;-1,9760;1,0710;2,2380;5;1.229,9820;1.473,2830;0,7878;0
95;08-04-2022 16:08:59 466;-2,0048;1,3034;1,4820;0,0488;0,9227;0,3824;0,1179;-0,0686;0,3294;0,2052;0,6928;-0,6913;-0,0827;-0,0125;0,9965;-1,9760;1,0710;2,2380;5;1.225,8670;1.473,2310;0,7877;0
96;08-04-2022 16:08:59 477;-2,0040;1,3034;1,4820;0,0499;0,9227;0,3822;0,1172;-0,0704;0,3309;0,2065;0,6998;-0,6838;-0,0860;-0,0132;0,9962;-1,9760;1,0710;2,2380;5;1.221,8990;1.473,0830;0,7877;0
97;08-04-2022 16:08:59 488;-2,0031;1,3033;1,4819;0,0507;0,9228;0,3819;0,1176;-0,0725;0,3324;0,2106;0,7057;-0,6765;-0,0756;-0,0094;0,9971;-1,9760;1,0710;2,2380;5;1.217,6740;1.472,9300;0,7877;0
98;08-04-2022 16:08:59 500;-2,0023;1,3032;1,4818;0,0507;0,9229;0,3816;0,1170;-0,0743;0,3336;0,2178;0,7108;-0,6688;-0,0738;-0,0023;0,9973;-1,9760;1,0710;2,2380;5;1.213,8050;1.472,7070;0,7878;0
99;08-04-2022 16:08:59 511;-2,0016;1,3031;1,4816;0,0504;0,9230;0,3814;0,1170;-0,0761;0,3349;0,2241;0,7147;-0,6625;-0,0718;-0,0029;0,9974;-1,9760;1,0710;2,2380;5;1.210,1920;1.472,6040;0,7878;0
